_id,business_status,geometry.location.lat,geometry.location.lng,name,place_id,rating,types,user_ratings_total,vicinity
5f7dfbe4f9ea96e61672dcc5,OPERATIONAL,-33.8716796,151.2021313,Adria Bar Restaurant,ChIJ8RXmITmuEmsRznrugcSQwxU,3.6,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",1007,"T.107 Cockle Bay Wharf, Darling Harbour"
5f7dfbe4f9ea96e61672dcc6,OPERATIONAL,-33.866664,151.2014112,Georges Mediterranean Bar & Grill,ChIJWRxefkeuEmsRmKvNb_DeLt8,3.8,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",444,"King Street Wharf, 3 The Promenade, Sydney"
5f7dfbe4f9ea96e61672dcc7,OPERATIONAL,-33.8864364,151.2191154,Captain Cook Hotel,ChIJmyQYfxuuEmsRfRMDYzNjvqY,3.7,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",398,"162 Flinders Street, Paddington"
5f7dfbe4f9ea96e61672dcc8,OPERATIONAL,-33.866098,151.2102038,Rockpool Bar & Grill,ChIJV8rt1UGuEmsRf1fObMkd93M,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",1870,"66 Hunter Street, Sydney"
5f7dfbe4f9ea96e61672dcc9,OPERATIONAL,-33.887468,151.211114,Shakespeare Hotel,ChIJLWc5hR-uEmsRMfTet6jUDnQ,4.3,"[""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",1027,"200 Devonshire Street, Surry Hills"
5f7dfbe4f9ea96e61672dcca,OPERATIONAL,-33.8682602,151.2061468,The Bavarian York St.,ChIJ6d4iYT-uEmsRzr2ghGVI_6s,4,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",2560,"24 York Street, Sydney"
5f7dfbe4f9ea96e61672dccb,OPERATIONAL,-33.87643800000001,151.208623,Hotel Downing,ChIJF8kWdT2uEmsRSImNvyzSRlE,4.1,"[""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",157,"249 Castlereagh Street, Sydney"
5f7dfbe4f9ea96e61672dccc,OPERATIONAL,-33.867818,151.2080959,Prime Steak Restaurant,ChIJFTbbfkCuEmsRoQQtdNuoVTs,4.6,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",520,"GPO Building, Lower Ground Floor, 1 Martin Place, Sydney"
5f7dfbe4f9ea96e61672dccd,OPERATIONAL,-33.8686301,151.2202203,China Doll,ChIJRy5QoG2uEmsRhJsXFU1btjU,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",981,"4/6 Cowper Wharf Roadway, Woolloomooloo"
5f7dfbe4f9ea96e61672dcce,OPERATIONAL,-33.85774250000001,151.2057952,The Hero of Waterloo,ChIJ1Wa5ylyuEmsR27Qd_lGav18,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",858,"81 Lower Fort Street, Millers Point"
5f7dfbe4f9ea96e61672dccf,OPERATIONAL,-33.886837,151.2138757,Toko Sydney,ChIJT-EHWQauEmsRZyvdi-Tn1nA,4.3,"[""night_club"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",739,"490 Crown Street, Surry Hills"
5f7dfbe4f9ea96e61672dcd0,OPERATIONAL,-33.8696629,151.205246,Redoak Boutique Beer Cafe,ChIJIybTJD-uEmsRluPfQS1I4FU,4.3,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",320,"201 Clarence Street, Sydney"
5f7dfbe4f9ea96e61672dcd1,OPERATIONAL,-33.881523,151.214291,The Winery,ChIJnz5DwBmuEmsRaMFGu_yx1rk,4.3,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",1351,"285A Crown Street, Surry Hills"
